Price,Open,High,Low,Close,Volume
Ticker,AES,AES,AES,AES,AES
Date,,,,,
2005-01-03,9.061476391884446,9.107877312041627,8.895758097420085,8.981931686401367,2011200
2005-01-04,8.97530028236654,9.02833007112955,8.643863786515242,8.650492668151855,2242500
2005-01-05,8.716781510274087,8.75655417669961,8.617350792457916,8.630608558654785,2073800
2005-01-06,8.630606438500093,8.683636225930345,8.305798200283634,8.637234687805176,1909200
2005-01-07,8.60409237795721,8.749924634309123,8.504661667632973,8.511290550231934,900600
2005-01-10,8.577577290206102,8.756553323433325,8.451631684433817,8.696894645690918,2095700
2005-01-11,8.623978290388255,8.663750318260577,8.498032060407605,8.60409164428711,1410300
2005-01-12,8.597464678791656,8.84935654421804,8.484776196043931,8.82284164428711,2140300
2005-01-13,8.82284164428711,8.981931043872695,8.77644009528417,8.82284164428711,2715600
2005-01-14,8.915641784667969,8.948785561328101,8.829468218217608,8.915641784667969,1461100
2005-01-18,8.948783858199253,9.253705407543007,8.948783858199253,9.160902976989746,3143500
2005-01-19,9.174165092381187,9.26696693481666,9.048218831697135,9.07473373413086,1706700
2005-01-20,9.07473341848846,9.194050791372634,9.07473341848846,9.154278755187988,2056600
2005-01-21,9.147649871768841,9.233823459722398,9.107877203419077,9.154278755187988,1567600
2005-01-24,9.18742116689837,9.260337614297327,9.141020251037263,9.207307815551758,1631300
2005-01-25,9.20730586071364,9.273592778989443,9.048215866088867,9.048215866088867,1806100
2005-01-26,9.114500045776367,9.141014929713856,9.054841398875844,9.114500045776367,1371600
2005-01-27,9.068102948603679,9.134389870081828,9.061474066806374,9.09461784362793,1485300
2005-01-28,9.094618907487959,9.154277586312451,9.001816447964854,9.141019821166992,1769800
2005-01-31,9.273594227045752,9.346510670349327,9.247079329162187,9.313366889953613,1845500
2005-02-01,9.31336659611153,9.525485772487562,9.306737713808527,9.472455978393555,3103100
2005-02-02,9.485715122278261,9.618289626790393,9.465828472477614,9.598402976989746,3052600
2005-02-03,9.618290041909841,9.929839982918375,9.61166115835686,9.903325080871582,3384400
2005-02-04,9.92983412576171,10.20161250163807,9.909948118997747,10.069037437438965,4440600
2005-02-07,10.102181050828278,10.122067689456479,9.962977741254612,9.982864379882812,2183400
2005-02-08,10.009380482263746,10.141954928405587,9.982865593035378,10.095553398132324,1762600
2005-02-09,10.075670871194292,10.122072417502963,9.936467496598366,10.016012191772461,2061500
2005-02-10,10.016012938714363,10.208246124428765,10.016012938714363,10.181731224060059,2857500
2005-02-11,10.208243816529334,10.35407605166974,10.161842909415777,10.294417381286621,3757700
2005-02-14,10.274532430072457,10.340819988938929,10.194987738731697,10.32093334197998,3797300
2005-02-15,10.281161850872213,10.453509007219784,10.248018069703056,10.413736343383789,3559100
2005-02-16,10.407105407112468,10.678883853338238,10.373961632483478,10.639110565185547,3374800
2005-02-17,10.73854677271049,10.99706692640389,10.70540235279445,10.924150466918945,6192300
2005-02-18,10.937405911608016,11.063352151875316,10.87774723276193,10.997064590454102,3467900
2005-02-22,10.93740499627972,10.93740499627972,10.539680925367191,10.645740509033203,3448900
2005-02-23,10.632483505709734,10.758428465141451,10.460135742168324,10.751799583435059,2939500
2005-02-24,10.791576580245813,10.93740823488536,10.659001429242338,10.924150466918945,2323000
2005-02-25,10.937402597284711,11.29535456189228,10.93077371671831,11.142892837524414,3654900
2005-02-28,11.129635259597743,11.182665034648,11.003689069729793,11.096490859985352,2733600
2005-03-01,11.109751716157977,11.202553532277735,10.997063254728305,11.189295768737793,2380500
2005-03-02,11.103125256450829,11.355016497008307,10.997065653655028,11.262214660644531,3300100
2005-03-03,11.32850042364038,11.361643570109944,11.222440837741779,11.308613777160645,2554400
2005-03-04,11.467700179019339,11.666562799202419,11.42129928027552,11.613533020019531,4918000
2005-03-07,11.765997454743154,12.017888674933824,11.69970989227295,11.69970989227295,2901500
2005-03-08,11.600277012082007,11.693078823593108,11.434558769052263,11.46770191192627,2895800
2005-03-09,11.381531485920176,11.547249765409793,10.977178479379864,11.109753608703613,4277900
2005-03-10,11.109754780736862,11.182671235990322,10.440252709249485,10.944036483764648,6329900
2005-03-11,10.73854459880149,11.149525207918806,10.314305592236614,11.043465614318848,1949600
2005-03-14,11.202552975944652,11.46770191192627,11.103122282992777,11.46770191192627,2809300
2005-03-15,11.467703950370835,11.765997346579532,11.467703950370835,11.69308090209961,4769700
2005-03-16,11.699708492049522,11.812396955463266,11.50084709276877,11.593648910522461,3071400
2005-03-17,11.593649971876586,11.719596210593592,11.500848145627243,11.600278854370117,2079000
2005-03-18,11.606904310902344,11.606904310902344,11.262210108960932,11.527359008789062,4726700
2005-03-21,11.52736131457139,11.593648868870138,11.335128797867954,11.4146728515625,2131700
2005-03-22,11.434559138607638,11.567134243048091,11.156152430746603,11.235697746276855,2369700
2005-03-23,10.440250642719375,10.804830318161695,10.314305040102667,10.632484436035156,7363100
2005-03-24,10.473395166999,10.95729286152313,10.287790874931893,10.798203468322754,2406400
2005-03-28,10.871117086050875,11.023577574559916,10.837973941359317,10.977176666259766,2736400
2005-03-29,10.997061024543404,11.136263720492977,10.818085046039958,10.837971687316895,4022600
2005-03-30,10.837976562454367,10.930778401498195,10.64574273662903,10.844605445861816,3048700
2005-03-31,10.718656882904785,10.9374049309506,10.692141354981676,10.85785961151123,2654600
