Сделка 452: Открыта 2009-03-06, Закрыта 2009-03-10, PnL=-112.15, Return=-3311.00%
Сделка 453: Открыта 2009-03-11, Закрыта 2009-03-13, PnL=1180.67, Return=32034.84%
Сделка 454: Открыта 2009-03-20, Закрыта 2009-03-26, PnL=-226.43, Return=-5442.00%
Сделка 455: Открыта 2009-03-26, Закрыта 2009-03-30, PnL=-36.15, Return=-885.28%
Сделка 456: Открыта 2009-03-31, Закрыта 2009-04-08, PnL=2413.87, Return=64004.96%
Сделка 457: Открыта 2009-04-09, Закрыта 2009-04-28, PnL=-558.76, Return=-12788.09%
Сделка 458: Открыта 2009-04-28, Закрыта 2009-04-30, PnL=1147.13, Return=26300.00%
Сделка 459: Открыта 2009-04-30, Закрыта 2009-05-04, PnL=1158.51, Return=24720.00%
Сделка 460: Открыта 2009-05-04, Закрыта 2009-05-08, PnL=1299.61, Return=24446.01%
Сделка 461: Открыта 2009-05-08, Закрыта 2009-05-12, PnL=-541.04, Return=-8609.73%
Сделка 462: Открыта 2009-05-12, Закрыта 2009-05-14, PnL=-615.62, Return=-10505.88%
Сделка 463: Открыта 2009-05-14, Закрыта 2009-05-18, PnL=-473.60, Return=-7903.41%
Сделка 464: Открыта 2009-05-18, Закрыта 2009-05-20, PnL=-116.59, Return=-1950.00%
Сделка 465: Открыта 2009-05-20, Закрыта 2009-05-22, PnL=-184.02, Return=-3180.00%
Сделка 466: Открыта 2009-05-22, Закрыта 2009-05-28, PnL=1162.79, Return=20350.00%
Сделка 467: Открыта 2009-05-28, Закрыта 2009-06-01, PnL=1174.42, Return=18630.00%
Сделка 468: Открыта 2009-06-01, Закрыта 2009-06-03, PnL=-288.68, Return=-4085.38%
Сделка 469: Открыта 2009-06-04, Закрыта 2009-06-08, PnL=-118.29, Return=-1711.00%
Сделка 470: Открыта 2009-06-08, Закрыта 2009-06-10, PnL=-236.45, Return=-3520.00%
Сделка 471: Открыта 2009-06-11, Закрыта 2009-06-16, PnL=-167.94, Return=-2474.63%
Сделка 472: Открыта 2009-06-16, Закрыта 2009-06-18, PnL=-341.98, Return=-5174.58%
Сделка 473: Открыта 2009-06-19, Закрыта 2009-06-23, PnL=-1115.41, Return=-17527.97%
Сделка 474: Открыта 2009-06-24, Закрыта 2009-06-30, PnL=1206.02, Return=17261.67%
Сделка 475: Открыта 2009-07-02, Закрыта 2009-07-07, PnL=-93.61, Return=-1259.70%
Сделка 476: Открыта 2009-07-07, Закрыта 2009-07-15, PnL=1173.39, Return=16240.00%
Сделка 477: Открыта 2009-07-15, Закрыта 2009-07-17, PnL=-20.65, Return=-259.38%
Сделка 478: Открыта 2009-07-20, Закрыта 2009-07-22, PnL=-153.90, Return=-1886.01%
Сделка 479: Открыта 2009-07-22, Закрыта 2009-08-04, PnL=2446.13, Return=30880.58%
Сделка 480: Открыта 2009-08-05, Закрыта 2009-08-24, PnL=1225.42, Return=14144.21%
Сделка 481: Открыта 2009-08-31, Закрыта 2009-09-02, PnL=-454.69, Return=-5028.92%
Сделка 482: Открыта 2009-09-02, Закрыта 2009-09-14, PnL=1214.44, Return=13890.00%
Сделка 483: Открыта 2009-10-01, Закрыта 2009-10-21, PnL=1350.78, Return=14885.09%
Сделка 484: Открыта 2009-10-30, Закрыта 2009-11-06, PnL=1249.27, Return=14430.58%
Сделка 485: Открыта 2009-10-30, Закрыта 2009-11-20, PnL=-123.97, Return=-1460.00%
Сделка 486: Открыта 2009-11-24, Закрыта 2009-12-10, PnL=-125.11, Return=-1492.00%
Сделка 487: Открыта 2009-12-10, Закрыта 2009-12-16, PnL=1278.42, Return=15173.96%
Сделка 488: Открыта 2010-03-01, Закрыта 2010-03-23, PnL=90.42, Return=1221.17%
Сделка 489: Открыта 2010-03-01, Закрыта 2010-03-25, PnL=20.68, Return=282.11%
Сделка 490: Открыта 2010-03-30, Закрыта 2010-04-21, PnL=2651.03, Return=36658.80%
Сделка 491: Открыта 2010-03-30, Закрыта 2010-05-07, PnL=-234.79, Return=-3291.82%
Сделка 492: Открыта 2010-03-30, Закрыта 2010-05-10, PnL=93.92, Return=1341.66%
Сделка 493: Открыта 2010-03-30, Закрыта 2010-05-21, PnL=-482.84, Return=-7691.68%
Сделка 494: Открыта 2010-03-30, Закрыта 2010-05-24, PnL=-615.62, Return=-10239.39%
Сделка 495: Открыта 2010-05-24, Закрыта 2010-05-28, PnL=1644.65, Return=27324.84%
Сделка 496: Открыта 2010-06-04, Закрыта 2010-06-10, PnL=1163.27, Return=18405.65%
Сделка 497: Открыта 2010-06-24, Закрыта 2010-06-29, PnL=-130.39, Return=-2032.00%
Сделка 498: Открыта 2010-06-29, Закрыта 2010-07-01, PnL=-116.21, Return=-1897.31%
Сделка 499: Открыта 2010-07-01, Закрыта 2010-07-06, PnL=-130.15, Return=-2160.00%
Сделка 500: Открыта 2010-07-08, Закрыта 2010-07-30, PnL=730.25, Return=11392.37%
